lang_ru	all_domains	lang	lang_tokens	rus_tokens	token_median	trash_tokens	type1_domains_crawled	type1_domains_found	type1_to_all	urls	lang_number_2010	lang_wiki_03_2014	lang_wiki_articles_2015	lang_wiki	lang_wiki_articles_2016	lang_wiki_admins_2016	lang_wiki_active_users_2016	vk_communities	vk_posts	vk_posts_in_lang	lang_tokens_vk	lang_augmentation_2002_2010	lang_augmentation_2002_2010_percent	lang_circulation_books_2009	lang_circulation_magazin_1996	lang_circulation_newspaper_1996	iso_code	lang_code	lang_detsad	lang_family	lang_mean_age	lang_number_2002	lang_number_books_2009	lang_number_magazin_1996	lang_number_newspapers_1996	lang_region	lang_religion	lang_status	lang_write_system	lang_write_system_comment	region_FedDistrict	region_birth_rate2014	region_budget_cost2010	region_budget_cost2011	region_budget_cost2014	region_budget_emoluments2010	region_budget_emoluments2011	region_budget_emoluments2014	region_citizens_percent	region_death_rate2014	region_density_of_population	region_inet_user_percent_2010	region_inet_user_percent_2011	region_number_computers_per_family2010	region_population_growth2014	region_rating_indx2013	region_rating_indx2014	region_rating_position2013	region_rating_position2014	region_sr_dush_doxod2002	region_sr_dush_doxod2010	region_sr_mes_zp_2010	region_sr_mes_zp_2015
Тофаларский	2	kim	9233	3090	89.0	795	0	0	0.0	56	93	0	0	none	0			0	0	0	0	-285	-75.50	0	0	0	kim	--	0	тюркский	NA	378	0	0	0	Иркутская область	NA		кириллица		СФО	15.40	91796.03	103870.90	138142.41	98500.74	113112.07	124895.98	78.94	13.79	3.1	31.4	40.1	0.58	1.61	35.09	35.09	69	69	3609.9	15109.7	20185.6	29500.0
Тувинский	350	tyv	3458966	2671563	493	955433	6	11	0.02	5639	253673	421	1230	wiki	1275	0	12	136	671400	363735	5271955	10919	4.40	22900	10000	2443000	tyv	tyv	160	тюркский	23.0	242754	14	2	7	Тыва	Буддизм	государственный	кириллица	да	СФО	25.35	15487.36	16689.33	23637.90	15246.56	16706.17	22633.58	53.93	10.92	1.9	7.8	15.8	0.42	14.43	19.10	18.49	82	83	2402.1	10159.6	17434.7	27.8
Тундровый ненецкий	60	yrk	144530	735166	260.5	52549	1	2	0.02	190	21926	0	65	inc	65			1	25	13	1997	NA	NA	0	0	0	yrk	yrk	0	самодийский	NA	NA	0	0	0	Ямало-Ненецкий автономный округ	NA		кириллица		УФО	16.97	95610.09	145642.02	159642.45	106812.68	136859.05	161682.51	83.81	5.11	0.7	57.4	60.0	1.13	11.86	42.85	41.79	36	45	13298.1	43367.1	52720.9	64200.0
Удинский 	4	udi	24045	12452	552	1509	0	0	0.0	11	2266	0	3	inc	4			1	2367	188	1226	NA	NA	0	0	0	udi	udi	0	нахско-дагестанский	NA	NA	0	0	0	Ростовская область	NA		кириллица		ЮФО	12.16	125447.11	137692.99	176458.26	123192.93	134346.41	164185.81	67.87	14.10	42.0	22.1	40.8	0.46	-1.95	49.08	49.74	16	16	3025.7	14647.1	15075.8	21200.0
Удмуртский	-1	udm	-1	-1	-1	-1	-1	38	-1	-1	324338	3389	3624	wiki	3688	4	19	288	215694	63851	1059452	-139499	-30.08	10900	76000	3235000	udm	udm	50	финно-угорский	40.0	463837	5	4	9	Удмуртия	Православие	государственный	кириллица	да	ПФО	14.57	49408.24	54230.99	77156.63	42510.97	53045.53	63927.49	65.54	12.83	36.1	41.1	50.4	0.76	1.75	42.59	42.92	37	38	2533	11065.8	14152.8	21.3
Хакасский	31	kjh	415419	100440	181	92572	1	1	0.03	385	42604	0	54	inc	65			4	4934	817	24304	-9613	-18.81	10500	0	0	kjh	kjh	4	тюркский	NA	52217	13	0	0	Хакасия	NA	государственный	кириллица	да	СФО	15.23	19084.72	23803.70	29177.21	18347.87	21221.56	26254.47	68.49	13.15	8.7	32.0	45.0	0.54	2.08	36.44	37.19	65	66	3143.7	12806.4	18379.1	29.1
Хантыйский	1	kca	109	4	8	11	0	0	0.0	3	9584	0	2	inc	2			0	0	0	0	-3984	-29.96	0	0	30000	kca	kca	0	финно-угорский	NA	13568	0	0	1	Ханты-Мансийский автономный округ	NA		кириллица	да	УФО	17.23	170084.87	192483.82	238852.72	167413.69	204480.50	246446.91	92.14	6.39	3.0	50.1	59.3	0.94	10.84	51.37	51.33	8	12	10846.3	32385.0	41604.8	56.3
Цахурский	62	tkr	34354	96169	66.5	33674	0	0	0.0	228	10596	0	3	inc	5			0	0	0	0	825	8.84	500	0	0	tkr	tkr	0	нахско-дагестанский	NA	9771	1	0	0	Дагестан	NA	государственный	кириллица		СКФО	19.10	64058.51	75070.61	92469.32	62407.28	71409.23	89902.49	45.08	5.56	59.5	10.6	4.3	0.38	13.54	33.33	33.75	73	71	1534	15678.3	10186.6	15.7
Чеченский	730	che	173068176	208787935	16	17017892	17	25	0.02	208056	1354705	23138	100401	wiki	130910	3	42	17	185615	49401	472301	22861	1.12	13000	20000	118000	che	ce	4	нахско-дагестанский	22.8	1331844	5	1	2	Чечня	Ислам	государственный	кириллица	да	СКФО	24.01	65720.22	80791.84	71758.87	64832.77	78917.15	69691.95	34.74	4.97	87.6	NA	4.6	NA	19.03	0	31.42	0	78	NA	11982.4	13944.4	19100.0
Чувашский	661	chv	71580963	34931888	78	27475233	13	20	0.02	296067	1152404	28247	33550	wiki	34190	2	56	87	276977	73180	645648	-282393	-21.11	174500	452000	20841000	chv	cv	221	тюркский	38.6	1325382	74	6	30	Чувашия	Православие	государственный	кириллица	да	ПФО	13.94	35126.43	37065.20	47741.38	33193.36	37264.91	44382.28	60.70	13.33	67.5	32.5	48.1	0.60	0.61	41.97	42.69	40	39	2069.9	19834.3	13037.5	20.9
Чукотский	106	ckt	1456023	652069	232	1306003	1	1	0.01	489	5095	0	47	inc	149			5	839	73	855	-2647	-34.49	0	0	0	ckt	ckt	0	чукотско-камчатский	NA	7742	0	0	0	Чукотский автономный округ	NA	официальный	кириллица	да	ДВФО	13.34	17027.96	18884.57	22339.79	13570.12	19941.14	21390.62	68.31	10.70	0.1	47.0	54.5	0.79	2.63	33.58	31.92	71	77	11313.2	38146.8	47408.6	51000.0
Шорский	15	cjs	52968	59230	264.5	4808	0	0	0.0	22	2839	0	16	inc	20			0	0	0	0	-3371	-54.48	0	0	0	cjs	cjs	0	тюркский	NA	6210	0	0	0	Кемеровская область	NA		кириллица		СФО	13.26	117171.91	131550.07	140509.89	113379.22	128335.83	127260.72	85.71	14.61	28.5	33.3	46.6	0.60	-1.36	40.44	39.39	51	57	3993.6	15341.2	17980.1	15900.0
Эвенкийский	14	evn	420744	4270214	9.0	1135464	1	1	0.07	7886	4800	0	18	inc	19			5	10948	2317	18037	-2782	-36.68	500	0	0	evn	evn	0	тунгусо-маньчжурский	NA	7584	1	0	0		NA	официальный	кириллица	да	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Эвенский	1	eve	847	159	847	0	0	0	0.0	1	5656	0	2	inc	3			0	0	0	0	-1512	-21.19	300	0	0	eve	eve	7	тунгусо-маньчжурский	NA	7168	1	0	0	Якутия	NA	официальный	кириллица		ДВФО	17.84	101223.35	121682.29	177367.19	104985.51	126236.19	172332.71	65.28	8.61	0.3	29.4	35.3	0.93	9.23	33.74	34.5	70	70	6348.2	23088.1	28601.3	48.6
Эрзя-мордовский	409	myv	1825364	12372963	41.0	5072695	5	7	0.01	12960	431692	1642	2368	wiki	3007	3	16	26	22870	5409	82570	36726		0	54000	318000	myv	myv	0	финно-угорский	NA		0	2	2	Мордовия	NA	государственный	кириллица	да	ПФО	10.12	38323.89	41600.51	45626.29	30858.81	33849.31	39876.32	61.22	14.36	31.0	20.2	25.5	0.43	-4.25	38.72	41.11	60	49	2124.1	18424.0	12045.4	19.0
Южноалтайский	41	alt	462565	181478	841	25129	0	0	0.0	121	55720	0	51	inc	65			9	193535	45103	444284	-9814	-14.48	0	0	0	alt	alt	0	тюркский	NA	65534	0	0	0	Алтай	NA	государственный	кириллица	да	СФО	20.81	14730.91	15984.08	19735.37	13316.76	15114.61	19965.06	56.01	11.15	14.2	25.3	26.9	0.59	9.66	36.40	37.95	66	64	2354.6	13535.7	11962.5	22.6
Южноюкагирский	5	yux	6627	14642	211	6101	0	0	0.0	27	50	0	11	inc	13			1	100	12	157	NA	NA	0	0	0	yux	yux	0	юкагирский	NA	NA	0	0	0	Магаданская область	NA	официальный	кириллица	да, исчезает	ДВФО	12.41	19897.58	21854.30	31189.51	20969.27	22622.05	26831.59	95.44	12.08	0.3	43.7	53.1	0.69	0.34	43.34	42.57	33	40	6748.5	27800.7	37786.2	50800.0
Якутский	-1	sah	-1	-1	-1	-1	-1	52	-1	-1	450140	10287	10445	wiki	10742	2	54	263	2775647	1062830	11401845	-6148	-1.15	400000	50000	22129000	sah	sah	462	тюркский	26.9	456288	141	3	26	Якутия	Православие	государственный	кириллица	да	ДВФО	17.84	101223.35	121682.29	177367.19	104985.51	126236.19	172332.71	65.28	8.61	0.3	29.4	35.3	0.93	9.23	33.74	34.5	70	70	6348.2	23088.1	28601.3	48.6
